Time;x;y;z;acc;temp;lumen
3;-0,43;0,06;-0,21;0,23;22,60;38,00
506;-0,23;1,45;-0,50;2,40;22,60;35,00
1011;0,05;0,25;0,28;0,14;22,60;37,00
1516;-4,40;2,12;-0,91;24,62;22,60;37,00
2020;0,01;-0,05;-0,19;0,04;22,60;29,00
2525;-2,92;2,43;1,03;15,49;22,60;21,00
3030;0,12;0,09;-0,11;0,03;22,60;10,00
3534;-4,42;1,99;-0,93;24,35;22,60;9,00
4038;0,19;-0,03;0,10;0,05;22,60;9,00
4543;-1,49;0,35;-0,20;2,37;22,60;7,00
5048;0,01;-0,02;0,17;0,03;22,60;7,00
5552;-1,17;1,47;-0,23;3,57;22,60;6,00
6056;-0,28;-0,16;-1,00;1,10;22,60;7,00
6561;-0,31;0,01;0,17;0,13;22,60;5,00
7066;-0,19;0,24;0,10;0,10;22,60;6,00
7570;-0,26;0,29;-0,09;0,16;22,60;5,00
8075;-2,42;1,20;0,22;7,33;22,60;6,00
8580;-0,05;-0,07;-0,03;0,01;22,60;5,00
9083;-2,15;0,23;0,65;5,10;22,60;5,00
9588;0,08;0,02;-0,53;0,28;22,60;4,00
10093;-1,05;0,75;-0,05;1,68;22,60;3,00
10597;-0,07;-0,10;-0,12;0,03;22,60;3,00
11102;-1,66;0,55;-0,09;3,06;22,60;3,00
11607;0,64;0,61;-0,03;0,78;22,60;3,00
12111;-1,01;0,93;-0,40;2,05;22,60;3,00
12615;-0,38;0,20;0,42;0,36;22,60;3,00
13120;-1,03;0,30;-0,31;1,24;22,60;3,00
13625;0,20;0,07;0,28;0,12;22,60;3,00
14129;-0,38;0,50;-0,35;0,52;22,60;3,00
14633;-0,27;0,12;0,09;0,09;22,60;3,00
15138;-0,68;0,02;-0,36;0,58;22,60;3,00
15643;0,21;-0,01;-0,01;0,05;22,60;4,00
16147;-0,58;0,79;-0,46;1,18;22,60;4,00
16652;-0,14;0,11;0,14;0,05;22,60;4,00
17157;-2,08;0,92;0,56;5,48;22,60;6,00
17661;0,01;0,02;0,27;0,07;22,60;27,00
18165;-2,66;1,47;-0,52;9,50;22,60;50,00
18670;-0,17;0,03;0,17;0,06;22,60;35,00
19175;-3,65;2,63;-1,32;21,97;22,60;29,00
19680;0,06;-0,07;0,33;0,12;22,60;35,00
20185;-3,60;1,03;-0,17;14,06;22,60;22,00
20688;-0,01;-0,09;0,07;0,01;22,60;17,00
21193;-1,18;0,07;-0,27;1,46;22,60;39,00
21698;-0,37;0,51;0,17;0,42;22,60;36,00
22203;-0,88;0,44;-0,09;0,98;22,60;29,00
