Time;x;y;z;acc;temp;lumen
2;-0,93;0,43;0,05;1,04;22,60;9,00
505;-0,90;0,44;0,08;1,00;22,60;9,00
1010;-0,91;0,44;0,09;1,03;22,60;11,00
1515;-0,92;0,44;0,05;1,04;22,71;11,00
2020;-0,91;0,42;0,01;1,00;22,60;11,00
2524;-0,87;0,40;0,10;0,93;22,60;11,00
3028;-0,87;0,40;0,00;0,92;22,60;12,00
3533;-0,91;0,42;0,05;1,00;22,60;12,00
4037;-0,91;0,44;0,07;1,02;22,60;11,00
4542;-0,89;0,44;0,07;0,99;22,60;11,00
5047;-0,92;0,40;0,09;1,01;22,60;13,00
5552;-0,89;0,44;0,07;0,99;22,60;12,00
6055;-0,90;0,43;0,05;0,99;22,60;11,00
6560;-0,91;0,43;0,05;1,01;22,60;12,00
7065;-0,92;0,44;0,03;1,04;22,60;12,00
7570;-0,89;0,42;0,03;0,97;22,60;12,00
8074;-0,92;0,45;0,07;1,05;22,60;12,00
8579;-0,90;0,42;0,05;0,99;22,60;12,00
9083;-0,92;0,44;0,03;1,03;22,60;12,00
9588;-0,91;0,43;0,05;1,01;22,60;11,00
10092;-0,91;0,41;0,08;1,00;22,60;12,00
10597;-0,89;0,41;0,05;0,96;22,60;12,00
11102;-0,90;0,43;0,07;1,00;22,60;12,00
11607;-0,91;0,41;0,07;1,00;22,60;12,00
12110;-0,90;0,42;0,09;0,99;22,60;11,00
12615;-0,90;0,44;0,09;1,01;22,60;12,00
13120;-0,90;0,42;0,07;0,99;22,60;12,00
13625;-0,91;0,41;0,08;1,00;22,60;11,00
14130;-0,91;0,44;0,07;1,02;22,60;11,00
14633;-0,88;0,44;0,07;0,98;22,60;11,00
15138;-0,91;0,44;0,05;1,02;22,71;11,00
15643;-0,92;0,43;0,05;1,03;22,60;11,00
16148;-0,91;0,44;0,05;1,02;22,71;12,00
16652;-0,90;0,42;0,03;0,99;22,60;12,00
17157;-0,88;0,46;0,05;1,00;22,60;11,00
17661;-0,89;0,44;0,05;0,99;22,60;12,00
18166;-0,91;0,44;0,05;1,02;22,60;11,00
18671;-0,94;0,42;0,00;1,06;22,60;11,00
19175;-0,94;0,47;0,01;1,11;22,60;11,00
19680;-0,92;0,45;0,05;1,05;22,60;11,00
20185;-0,90;0,40;0,05;0,97;22,60;12,00
20689;-0,93;0,40;-0,00;1,02;22,60;13,00
21194;-0,89;0,43;0,01;0,98;22,60;13,00
21698;-0,87;0,40;0,03;0,93;22,60;14,00
22203;-0,93;0,42;0,00;1,03;22,60;13,00
22708;-0,88;0,41;0,05;0,95;22,60;14,00
23213;-0,92;0,42;0,03;1,02;22,60;12,00
23716;-0,93;0,38;0,07;1,01;22,60;14,00
24221;-0,94;0,41;0,05;1,06;22,60;14,00
24726;-0,92;0,39;0,03;0,99;22,60;14,00
25231;-0,91;0,40;0,05;0,99;22,60;13,00
25736;-0,92;0,42;0,08;1,02;22,60;12,00
26240;-0,90;0,43;0,05;0,99;22,60;11,00
26744;-0,91;0,44;0,05;1,02;22,60;11,00
27249;-0,90;0,43;0,05;0,99;22,60;10,00
27754;-0,91;0,42;0,08;1,00;22,60;10,00
28258;-0,70;0,35;0,12;0,63;22,60;11,00
28763;-1,00;0,50;0,03;1,24;22,60;12,00
29267;-0,94;0,44;0,00;1,08;22,60;11,00
29772;-0,96;0,44;0,03;1,11;22,60;11,00
30277;-0,88;0,52;-0,01;1,05;22,60;13,00
30781;-0,97;0,54;0,05;1,23;22,60;12,00
31286;-0,98;0,43;0,01;1,14;22,60;12,00
