Time;x;y;z;acc;temp;lumen
2;-0,74;0,49;-0,38;0,92;22,60;0,00
505;-0,89;0,65;-0,22;1,26;22,60;0,00
1010;-1,14;1,08;0,11;2,49;22,60;0,00
1515;-0,99;0,70;0,09;1,47;22,60;0,00
2019;-0,69;0,68;0,15;0,97;22,60;0,00
2524;-0,62;0,64;0,03;0,80;22,60;0,00
3028;-0,70;0,44;-0,03;0,69;22,60;0,00
3532;-0,50;0,44;-0,01;0,44;22,60;0,00
4037;-0,69;0,37;-0,08;0,62;22,60;0,00
4542;-0,63;0,63;-0,03;0,79;22,71;0,00
5047;-0,91;0,52;0,03;1,10;22,71;0,00
5551;-1,02;0,77;-0,19;1,67;22,60;0,00
6055;-0,77;0,57;-0,61;1,29;22,60;0,00
6560;-1,12;1,12;-0,34;2,63;22,60;0,00
7064;-0,71;0,58;0,05;0,85;22,60;1,00
7569;-0,91;0,55;0,12;1,14;22,60;0,00
8074;-0,74;0,58;0,08;0,89;22,60;0,00
8578;-0,79;0,57;0,12;0,96;22,60;0,00
9082;-1,01;0,72;-0,09;1,56;22,60;0,00
9587;-1,27;0,93;-0,44;2,68;22,60;0,00
10091;-1,11;0,93;-0,22;2,13;22,71;0,00
10596;-0,80;1,06;0,29;1,83;22,60;0,00
11101;-0,89;0,65;0,23;1,27;22,71;0,00
11606;-0,57;0,56;0,10;0,65;22,71;0,00
12109;-0,96;0,66;0,09;1,37;22,60;0,00
12614;-0,93;0,67;-0,01;1,32;22,60;0,00
13119;-0,96;0,51;0,01;1,18;22,60;0,00
13624;-1,32;1,23;-0,03;3,27;22,60;0,00
14128;-1,17;0,92;-0,21;2,25;22,60;0,00
14632;-1,32;1,04;-0,15;2,85;22,60;0,00
15137;-1,25;0,99;0,17;2,55;22,60;0,00
15642;-1,20;1,01;0,23;2,52;22,60;0,00
16146;-1,08;0,79;0,10;1,79;22,71;0,00
16651;-0,77;0,92;-0,03;1,43;22,60;0,00
17156;-0,94;0,76;0,00;1,47;22,60;0,00
17660;-0,74;0,50;-0,44;0,99;22,71;0,00
18164;-1,05;0,89;0,01;1,89;22,60;0,00
18669;-0,62;0,47;0,17;0,64;22,60;0,00
19174;-0,41;0,62;-0,01;0,55;22,60;0,00
19678;-1,17;1,08;-0,10;2,54;22,60;0,00
20183;-1,31;0,87;-0,03;2,47;22,60;0,00
20687;-1,20;1,07;0,03;2,58;22,71;0,00
21192;-1,17;0,84;0,28;2,14;22,71;0,00
21696;-0,68;0,48;0,11;0,71;22,60;0,00
22201;-0,45;0,43;0,10;0,39;22,71;0,00
22706;-0,48;0,43;0,05;0,41;22,60;0,00
23211;-0,66;0,38;0,03;0,58;22,71;0,00
23714;-0,56;0,53;0,03;0,60;22,71;0,00
24219;-0,74;0,20;0,03;0,59;22,71;0,00
24724;-0,63;0,66;0,09;0,84;22,60;0,00
25229;-0,75;0,27;0,08;0,64;22,60;0,00
25733;-0,68;0,34;0,08;0,59;22,60;0,00
26237;-0,81;0,40;0,03;0,82;22,60;0,00
26742;-0,64;0,65;-0,09;0,83;22,60;0,00
27246;-1,00;0,36;-0,13;1,15;22,60;0,00
27751;-0,86;0,51;0,05;1,01;22,60;0,00
28256;-0,80;0,65;-0,09;1,07;22,60;0,00
28761;-0,79;0,42;-0,28;0,87;22,60;0,00
29264;-0,97;0,69;0,13;1,43;22,71;0,00
29769;-0,77;0,51;0,08;0,86;22,71;0,00
30274;-0,77;0,72;-0,44;1,31;22,60;0,00
30779;-0,68;0,66;-0,12;0,92;22,60;0,00
31283;-0,60;0,37;-0,13;0,51;22,60;0,00
31788;-0,54;0,50;-0,19;0,58;22,60;0,00
32292;-0,61;0,46;-0,33;0,70;22,71;0,00
32796;-1,05;0,76;-0,19;1,72;22,60;0,00
33301;-0,59;0,50;-0,12;0,61;22,60;0,00
33806;-0,76;0,40;-0,16;0,76;22,60;0,00
34311;-0,78;0,50;-0,33;0,97;22,60;0,00
34814;-0,68;0,65;-0,05;0,89;22,60;0,00
35319;-0,75;0,56;-0,15;0,90;22,60;0,00
35824;-0,81;0,67;0,05;1,10;22,60;0,00
36329;-0,61;0,71;-0,11;0,89;22,60;0,00
36833;-0,81;0,62;-0,36;1,17;22,60;0,00
37338;-0,71;0,61;-0,03;0,88;22,60;0,00
37842;-0,61;0,61;-0,14;0,77;22,60;0,00
38347;-0,95;0,70;-0,11;1,40;22,60;0,00
38851;-0,69;0,51;0,08;0,75;22,60;0,00
39356;-0,84;0,79;-0,01;1,32;22,60;0,00
39861;-0,60;0,57;-0,17;0,72;22,71;0,00
40366;-0,82;0,49;-0,22;0,96;22,71;0,00
40869;-0,77;0,53;-0,00;0,87;22,60;0,00
41374;-0,62;0,58;-0,18;0,76;22,60;0,00
41879;-0,64;0,76;-0,07;0,99;22,60;0,00
42383;-0,81;0,45;-0,07;0,86;22,60;0,00
42888;-0,81;0,60;0,10;1,02;22,71;0,00
43393;-0,66;0,67;-0,11;0,89;22,71;0,00
43897;-0,64;0,79;0,05;1,04;22,60;0,00
44401;-0,83;0,48;-0,30;1,01;22,60;0,00
44906;-0,90;0,67;-0,05;1,26;22,60;0,00
45411;-0,61;0,58;-0,15;0,73;22,60;0,00
45916;-0,86;0,54;-0,11;1,04;22,71;0,00
46419;-0,94;0,74;-0,35;1,56;22,60;0,00
46924;-0,68;0,74;-0,14;1,04;22,60;0,00
47429;-0,75;0,48;-0,20;0,83;22,60;0,00
47934;-0,63;0,42;-0,32;0,67;22,60;0,00
48438;-0,69;0,63;0,00;0,87;22,60;0,00
48943;-0,67;0,43;-0,14;0,64;22,60;0,00
49447;-0,56;0,60;-0,29;0,76;22,71;0,00
49952;-0,74;0,70;-0,03;1,03;22,71;0,00
50456;-0,62;0,50;-0,19;0,67;22,60;0,00
50961;-0,69;0,50;-0,28;0,80;22,60;0,00
51466;-0,86;0,57;-0,10;1,07;22,60;0,00
51970;-0,71;0,60;0,11;0,88;22,60;0,00
52474;-0,74;0,65;0,10;0,98;22,60;0,00
