Time,x,y,z,acc,temp,lumen
2;-0,79;0,57;-0,03;0,95;22,60;0,00
505;-0,70;0,68;0,01;0,95;22,60;0,00
1010;-0,84;0,49;0,36;1,07;22,60;0,00
1515;-0,70;0,62;0,27;0,95;22,60;0,00
2019;-0,57;0,79;0,12;0,97;22,60;0,00
2524;-0,80;0,49;0,03;0,87;22,60;0,00
3028;-0,74;0,76;-0,36;1,26;22,60;0,00
3532;-1,08;0,92;-0,03;2,01;22,60;0,00
4037;-0,92;0,59;0,31;1,28;22,60;0,00
4542;-0,61;0,51;0,21;0,68;22,60;0,00
5046;-0,75;0,43;0,14;0,77;22,60;0,00
5551;-0,62;0,86;0,07;1,14;22,60;0,00
6055;-0,67;0,49;0,15;0,71;22,60;0,00
6560;-0,48;0,37;0,05;0,37;22,60;0,00
7064;-0,60;0,43;0,00;0,54;22,60;0,00
7569;-0,53;0,47;-0,16;0,53;22,60;0,00
8074;-0,88;0,65;-0,10;1,22;22,60;0,00
8578;-1,01;0,67;0,17;1,51;22,60;0,00
9082;-0,55;0,52;0,22;0,63;22,60;0,00
9587;-0,68;0,53;0,17;0,78;22,60;0,00
10091;-0,63;0,72;0,00;0,92;22,60;0,00
10596;-0,82;0,58;0,03;1,02;22,71;0,00
11101;-1,07;0,87;-0,31;2,00;22,60;0,00
11604;-0,84;0,71;0,05;1,22;22,60;0,00
12109;-0,69;0,48;0,19;0,74;22,60;0,00
12614;-0,70;0,53;0,19;0,81;22,60;0,00
13119;-0,73;0,29;-0,03;0,62;22,60;0,00
13623;-0,56;0,57;0,03;0,65;22,60;0,00
14128;-0,83;0,64;0,07;1,10;22,60;4,00
14632;-0,87;0,88;-0,31;1,63;22,60;5,00
15137;-1,07;0,88;0,15;1,95;22,60;5,00
15641;-0,82;0,49;0,29;0,99;22,60;7,00
16146;-0,49;0,47;0,17;0,49;22,60;6,00
16651;-0,77;0,42;0,10;0,78;22,60;7,00
17155;-0,62;1,02;0,05;1,44;22,71;5,00
17659;-0,56;0,37;0,11;0,46;22,60;5,00
18164;-0,46;0,38;0,08;0,36;22,60;5,00
18669;-0,61;0,50;0,05;0,62;22,60;6,00
19173;-0,68;0,46;0,11;0,68;22,60;5,00
19678;-0,58;0,57;-0,20;0,71;22,60;5,00
20183;-1,00;0,89;-0,65;2,20;22,60;6,00
20687;-1,18;0,91;-0,05;2,23;22,60;5,00
21191;-1,07;0,90;0,26;2,02;22,60;5,00
21696;-0,68;0,66;0,22;0,94;22,60;4,00
22201;-0,61;0,42;0,17;0,58;22,60;4,00
22706;-0,60;0,83;0,05;1,05;22,60;4,00
23209;-0,67;0,47;0,12;0,68;22,60;4,00
23714;-0,54;0,51;0,01;0,55;22,60;4,00
24219;-0,81;0,56;0,05;0,98;22,60;4,00
24724;-0,68;0,70;-0,22;1,00;22,60;5,00
25228;-1,08;0,72;-0,19;1,73;22,60;7,00
25733;-1,12;0,89;0,13;2,07;22,71;12,00
26237;-0,67;0,70;0,13;0,95;22,60;22,00
26742;-0,59;0,54;0,15;0,66;22,60;35,00
27246;-0,62;0,86;0,03;1,14;22,60;30,00
27751;-0,69;0,49;0,08;0,72;22,60;31,00
28256;-0,76;0,62;0,17;0,99;22,60;32,00
28761;-0,78;0,50;-0,16;0,89;22,60;35,00
29265;-1,16;0,91;0,09;2,17;22,60;37,00
29769;-0,67;0,65;0,20;0,91;22,60;35,00
30274;-0,68;0,49;0,17;0,72;22,60;35,00
30779;-0,65;0,83;0,07;1,11;22,60;33,00
31284;-0,69;0,50;0,09;0,73;22,60;34,00
31789;-0,73;0,61;-0,11;0,91;22,60;32,00
32292;-1,05;0,82;0,11;1,78;22,60;35,00
32797;-0,75;0,47;0,26;0,85;22,60;39,00
33302;-0,67;0,53;0,17;0,76;22,60;37,00
33807;-0,69;0,49;0,05;0,72;22,60;38,00
34311;-0,61;0,59;0,07;0,72;22,60;38,00
34816;-0,68;0,47;0,00;0,68;22,60;38,00
35320;-0,67;0,44;0,13;0,66;22,60;37,00
35825;-0,68;0,58;-0,14;0,82;22,60;36,00
36330;-1,20;1,08;-0,15;2,64;22,60;38,00
36834;-0,89;0,73;0,05;1,33;22,60;39,00
37339;-0,71;0,49;0,17;0,77;22,60;38,00
37843;-0,54;0,66;0,08;0,73;22,60;38,00
38348;-0,66;0,46;0,05;0,65;22,60;36,00
38853;-0,73;0,49;0,17;0,79;22,60;35,00
39357;-0,78;0,79;0,00;1,24;22,60;34,00
39862;-0,84;0,91;-0,26;1,59;22,60;29,00
40367;-1,76;0,95;-0,35;4,13;22,60;25,00
40871;-1,29;1,05;-0,40;2,91;22,60;30,00
