Time;x;y;z;acc;W+-40;W+-20;W+-10;W+-5;temp;lumen
2;-1;-0,33;-0,18;1,14;#BEZUG!;#BEZUG!;#BEZUG!;#BEZUG!;23,28;0
56;-0,93;-0,3;-0,15;0,98;#BEZUG!;#BEZUG!;#BEZUG!;#BEZUG!;23,28;0
110;-0,96;-0,35;-0,12;1,06;#BEZUG!;#BEZUG!;#BEZUG!;#BEZUG!;23,28;0
164;-0,97;-0,38;-0,11;1,09;#BEZUG!;#BEZUG!;#BEZUG!;#BEZUG!;23,28;0
220;-0,96;-0,35;-0,09;1,05;#BEZUG!;#BEZUG!;#BEZUG!;1,052;23,28;0
274;-0,97;-0,37;-0,07;1,08;#BEZUG!;#BEZUG!;#BEZUG!;1,062727273;23,28;0
328;-1;-0,41;-0,08;1,17;#BEZUG!;#BEZUG!;#BEZUG!;1,056363636;23,28;0
382;-0,94;-0,34;-0,11;1,01;#BEZUG!;#BEZUG!;1,127777778;1,06;23,28;0
437;-0,87;-0,27;-0,03;0,84;#BEZUG!;#BEZUG!;1,114210526;1,054545455;23,28;0
492;-0,99;-0,35;0,03;1,1;#BEZUG!;#BEZUG!;1,108947368;1,060909091;23,28;0
546;-0,98;-0,46;-0,03;1,17;#BEZUG!;#BEZUG!;1,09;1,132727273;23,28;0
601;-0,94;-0,42;-0,05;1,07;#BEZUG!;#BEZUG!;1,072105263;1,214545455;23,28;0
655;-0,93;-0,4;-0,01;1,02;#BEZUG!;#BEZUG!;1,055263158;1,157272727;23,28;0
710;-0,93;-0,38;0,03;1;#BEZUG!;#BEZUG!;1,050526316;1,144545455;23,28;0
764;-0,98;-0,45;0,08;1,16;#BEZUG!;#BEZUG!;1,095263158;1,162727273;23,28;1
819;-1,25;-0,52;-0,05;1,84;#BEZUG!;#BEZUG!;1,138947368;1,119090909;23,28;0
873;-1,3;-0,06;-0,55;1,98;#BEZUG!;#BEZUG!;1,160526316;1,078181818;23,28;0
927;-0,63;-0,13;-0,36;0,54;#BEZUG!;1,175789474;1,203157895;1,050909091;23,28;0
983;-0,89;-0,27;-0,05;0,87;#BEZUG!;1,162051282;1,201052632;1,045454545;23,28;0
1037;-0,98;-0,21;-0,19;1,04;#BEZUG!;1,13974359;1,173157895;1,13;23,28;0
1091;-0,76;-0,15;-0,13;0,62;#BEZUG!;1,122820513;1,134210526;1,206363636;23,28;0
1145;-0,83;-0,18;0;0,72;#BEZUG!;1,121025641;1,112105263;1,168181818;23,28;0
1201;-0,86;-0,14;0,03;0,77;#BEZUG!;1,125384615;1,109473684;1,138181818;23,28;0
1255;-0,96;-0,18;0,11;0,96;#BEZUG!;1,148717949;1,099473684;1,185454545;23,28;0
1309;-1,35;-0,32;-0,1;1,93;#BEZUG!;1,186666667;1,11;1,164545455;23,28;0
1363;-1,35;-0,42;-0,03;2;#BEZUG!;1,213333333;1,121052632;1,1;23,28;0
1419;-1,06;-0,23;-0,49;1,42;#BEZUG!;1,214615385;1,208421053;1,098181818;23,28;0
1473;-1;-0,31;-0,75;1,65;#BEZUG!;1,204102564;1,237368421;1,119090909;23,28;0
1527;-1;-0,2;-0,18;1,06;#BEZUG!;1,182051282;1,216315789;1,137272727;23,28;0
1582;-0,76;-0,24;-0,03;0,64;#BEZUG!;1,163076923;1,197894737;1,235454545;23,28;0
1637;-0,56;-0,1;-0,03;0,33;#BEZUG!;1,158461538;1,176842105;1,259090909;23,28;0
