Time;x;y;z;acc;temp;lumen
Time;x;y;z;total;;temp;lumen
2;-1;-0,2;-0,24;1,0976;;22,94;0
505;-0,99;-0,19;-0,23;1,0691;;22,94;0
1010;-0,98;-0,19;-0,24;1,0541;;22,94;0
1515;-0,98;-0,19;-0,24;1,0541;;22,94;0
2020;-0,98;-0,19;-0,22;1,0449;;22,94;0
2524;-0,98;-0,19;-0,23;1,0494;;22,94;0
3028;-0,97;-0,19;-0,27;1,0499;;22,94;0
3533;-0,95;-0,18;-0,34;1,0505;1,0587;22,94;0
4037;-0,86;-0,24;-0,51;1,0573;1,0536625;22,94;0
4542;-0,79;-0,39;-0,61;1,1483;1,0635625;22,94;0
5047;-0,67;-0,35;-0,53;0,8523;1,0383375;22,82;0
5552;-0,96;-0,31;0,12;1,0321;1,0355875;22,94;0
6055;-0,71;-0,48;-0,54;1,0261;1,0332375;22,82;0
6560;-0,82;-0,85;-0,43;1,5798;1,0995375;22,82;0
7065;-0,64;-0,44;-0,36;0,7328;1,0599;22,82;0
7569;-0,84;-0,48;-0,28;1,0144;1,0553875;22,82;0
8074;-0,63;-0,47;0,15;0,6403;1,0032625;22,82;0
8579;-0,91;-0,19;-0,35;0,9867;0,9830625;22,82;0
9082;-0,94;-0,21;-0,34;1,0433;1,0069375;22,82;0
9587;-0,94;-0,27;-0,28;1,0349;1,0072875;22,82;0
10092;-1,04;-0,27;-0,22;1,2029;1,0293875;22,82;0
10597;-1,05;-0,09;-0,13;1,1275;0,97285;22,82;0
11101;-1,03;0;-0,17;1,0898;1,017475;22,82;0
11606;-0,92;0,1;-0,24;0,914;1,004925;22,82;0
12110;-0,86;-0,04;-0,26;0,8088;1,0259875;22,82;0
12615;-1;-0,17;-0,12;1,0433;1,0330625;22,94;0
13119;-1;0,19;-0,09;1,0442;1,033175;22,82;0
13624;-0,98;-0,27;-0,13;1,0502;1,0350875;22,82;0
14129;-0,91;-0,27;-0,23;0,9539;1,0039625;22,94;0
